name,color,lat,lon,elevation
W3,yellow,31.939137,-112.811723,505.764
W3,yellow,31.939199,-112.81164,506.07
W0,red,31.939177,-112.811149,505.959
W0,red,31.939243,-112.810357,506.025
W0,red,31.939488,-112.809358,505.064
W0,red,31.939659,-112.808892,505.619
W0,red,31.939933,-112.808762,506.973
W2,blue,31.940526,-112.809144,508.312
W3,yellow,31.940513,-112.809102,509.088
W3,yellow,31.940492,-112.809122,509.208
W3,yellow,31.940499,-112.809144,509.444
W3,yellow,31.940723,-112.809243,508.967
W0,red,31.941454,-112.809722,510.975
W0,red,31.942308,-112.810382,513.683
W0,red,31.942412,-112.810454,514.06
W0,red,31.942592,-112.810721,514.915
W0,red,31.942631,-112.811182,515.025
W0,red,31.942637,-112.811228,515.036
W0,red,31.942846,-112.811323,515.696
W0,red,31.942881,-112.811195,516.39
W0,red,31.942958,-112.810448,517.036
W0,red,31.942983,-112.81025,516.488
W0,red,31.942982,-112.809708,513.256
W0,red,31.942957,-112.809552,511.583
W0,red,31.942852,-112.809099,508.846
W0,red,31.942689,-112.808633,505.648
W0,red,31.942465,-112.808107,502.65
W0,red,31.942271,-112.807655,504.58
W0,red,31.94214,-112.807316,506.76
W0,red,31.942051,-112.80703,508.164
W0,red,31.941985,-112.805837,508.564
W0,red,31.942143,-112.80483,505.059
W0,red,31.942343,-112.804237,501.549
W0,red,31.942544,-112.803719,498.175
W0,red,31.942721,-112.803349,497.424
W0,red,31.94293,-112.803058,499.296
W0,red,31.943277,-112.802756,500.242
W0,red,31.944015,-112.802446,497.557
W0,red,31.94415,-112.802409,496.988
W0,red,31.945339,-112.802503,494.838
W0,red,31.946742,-112.802879,495.525
W0,red,31.947004,-112.802859,492.442
W0,red,31.948276,-112.80264,496.706
W0,red,31.949678,-112.803085,497.737
W0,red,31.950826,-112.803191,498.622
W0,red,31.951898,-112.8027,499.58
W0,red,31.952397,-112.802483,500.267
W0,red,31.953327,-112.802584,500.541
W0,red,31.954067,-112.802684,500.771
W0,red,31.954076,-112.802689,501.095
W0,red,31.954155,-112.802472,500.971
W0,red,31.954128,-112.801503,503.253
W0,red,31.95407,-112.801198,503.111
W0,red,31.954236,-112.80108,503.923
W0,red,31.954283,-112.801111,503.729
W0,red,31.954517,-112.801252,503.445
W3,yellow,31.954598,-112.801246,504.701
W3,yellow,31.954619,-112.801224,504.864
W3,yellow,31.954673,-112.801189,505.167
W3,yellow,31.954795,-112.801146,505.473
W3,yellow,31.95475,-112.801166,505.637
W2,blue,31.95456,-112.80131,505.205
W2,blue,31.954768,-112.801158,505.771
W3,yellow,31.954798,-112.801196,505.774
W3,yellow,31.954771,-112.801208,505.653
W3,yellow,31.954608,-112.801234,505.419
W3,yellow,31.954574,-112.801253,505.294
W3,yellow,31.954575,-112.801259,508.631
W3,yellow,31.954575,-112.801258,504.904
W3,yellow,31.954574,-112.801251,504.392
W0,red,31.954706,-112.801343,504.434
W0,red,31.954896,-112.801582,504.395
W0,red,31.954596,-112.801645,504.471
